variant,study_name,trial,state,value,failure_class,worker_status,worker_message_short,latest_step,total_steps,training_complete,batch_size_train,batch_size_eval,val_microbatch_size,memory_cleanup_every_steps,datetime_start,datetime_complete,param_learning_rate_schedule,param_learning_rate,param_weight_decay,param_nmse_loss_weight,param_grad_clip_norm,param_dropout,param_residual_scale,param_learning_rate_decay_fraction,param_learning_rate_final_fraction,param_learning_rate_polynomial_power
wide_deep_d320_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_deep_d320_b6_r2,0,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",9563,12000,False,32,32,16,100,2026-06-28T06:05:57.328160+00:00,2026-06-28T07:55:08.401744+00:00,constant,0.0009643418646698049,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,,,
wide_deep_d320_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_deep_d320_b6_r2,1,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",4824,12000,False,32,32,16,100,2026-06-28T07:55:08.525044+00:00,2026-06-28T08:49:36.564834+00:00,constant,0.0004836255912377222,1.1922049279863218e-07,0.4274172298450684,0.5,0.07659517324155471,0.26986053908682783,,,
wide_deep_d320_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_deep_d320_b6_r2,2,COMPLETE,-1.401631431725411,,complete,,12000,12000,True,32,32,16,100,2026-06-28T08:49:36.648582+00:00,2026-06-28T11:08:59.538719+00:00,constant,0.0005809397231941362,1.912227231393291e-07,0.3089601517759952,0.5,0.11304439362235329,0.15372369184136675,,,
wide_deep_d320_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_deep_d320_b6_r2,3,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",5696,12000,False,32,32,16,100,2026-06-28T11:08:59.717910+00:00,2026-06-28T12:14:04.712694+00:00,constant,0.0007749349842627399,1.1957496756294423e-07,0.17257378079061886,0.5,0.09118634538381744,0.5088494568176662,,,
wide_deep_d320_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_deep_d320_b6_r2,4,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",6538,12000,False,32,32,16,100,2026-06-28T12:14:04.806817+00:00,2026-06-28T13:32:09.738064+00:00,cosine_decay,0.001199270587979418,8.271896538834887e-06,0.26734213832907167,0.5,0.00835121089124563,0.44652798477643935,1.25,0.08059905686377618,
wide_deep_d320_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_deep_d320_b6_r2,5,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",5298,12000,False,32,32,16,100,2026-06-28T13:32:09.869744+00:00,2026-06-28T14:36:41.628679+00:00,cosine_decay,0.0004568972058255479,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,0.75,0.02308016679308127,
mlpwide_d256_b4_r4,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_mlpwide_d256_b4_r4,0,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node axial_block_3/dense_12/Tensordot/MatMul defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial_worker.py"",",6433,12000,False,32,32,16,100,2026-06-28T06:06:14.122353+00:00,2026-06-28T07:17:17.482556+00:00,cosine_decay,0.0009916776979607758,1.4653849050497994e-07,0.42417983955700533,0.5,0.056633804452688036,0.605203263886025,1.25,0.06864563080708674,
mlpwide_d256_b4_r4,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_mlpwide_d256_b4_r4,1,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",11177,12000,False,32,32,16,100,2026-06-28T07:17:17.592406+00:00,2026-06-28T09:22:56.062052+00:00,constant,0.0006475648210792319,3.6657233603033064e-07,0.483496378399762,0.5,0.02595785340532727,0.6236575568988504,,,
mlpwide_d256_b4_r4,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_mlpwide_d256_b4_r4,2,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",3800,12000,False,32,32,16,100,2026-06-28T09:22:56.222609+00:00,2026-06-28T10:03:40.147421+00:00,cosine_decay,0.0005347152402954314,2.6403771590562237e-07,0.14442597067380863,0.5,0.05110444028707284,0.6745164722720112,1.25,0.1214426975329714,
mlpwide_d256_b4_r4,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_mlpwide_d256_b4_r4,3,COMPLETE,-1.3427349311410441,,complete,,12000,12000,True,32,32,16,100,2026-06-28T10:03:40.295719+00:00,2026-06-28T12:18:07.687478+00:00,constant,0.0009643418646698049,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,,,
mlpwide_d256_b4_r4,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_mlpwide_d256_b4_r4,4,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",4091,12000,False,32,32,16,100,2026-06-28T12:18:07.974734+00:00,2026-06-28T13:05:24.781186+00:00,cosine_decay,0.0004568972058255479,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,0.75,0.02308016679308127,
mlpwide_d256_b4_r4,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_mlpwide_d256_b4_r4,5,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",8441,12000,False,32,32,16,100,2026-06-28T13:05:24.919903+00:00,2026-06-28T14:38:01.367997+00:00,cosine_decay,0.0004983159357242532,7.693520676908999e-07,0.12243400701824686,1.0,0.007912361628708613,0.3228873595847961,0.75,0.012154545064008537,
