variant,trial,state,value,is_warm_start,source_domain,purpose,last_step,last_val_nmse_prop,last_val_nmse_ls,last_val_nmse_ratio,best_val_nmse_prop,best_val_nmse_ls,best_val_nmse_ratio,best_nmse_step,param_learning_rate_schedule,param_learning_rate,param_learning_rate_decay_fraction,param_learning_rate_final_fraction,param_weight_decay,param_nmse_loss_weight,param_grad_clip_norm,param_dropout,param_residual_scale,param_learning_rate_polynomial_power
deep_d256_b6_r2,19,PRUNED,-1.1313224121710221,False,,,1000,0.07860707835061476,0.106999559502583,0.734648616461988,0.07860707835061476,0.106999559502583,0.734648616461988,1000,constant,0.0003749037676767433,,,1.0833839434518624e-07,0.2855155366830133,0.5,0.01577362413297229,0.4598026167566329,
narrow_d192_b4_r2,0,COMPLETE,-1.2021250553824823,True,cdl_c,UMi Stage-A warm start,4000,0.06787649639106046,0.11423495997829984,0.5941832203027368,0.06787649639106046,0.11423495997829984,0.5941832203027368,4000,constant,0.0008722091201558823,,,2.363899423796963e-06,0.36833494384383136,0.5,7.216382532542441e-05,0.6586559871326637,
narrow_d192_b4_r2,1,COMPLETE,-1.1261070421048323,False,,,4000,0.07973167051871617,0.11423495997829984,0.6979620821319679,0.07973167051871617,0.11423495997829984,0.6979620821319679,4000,cosine_decay,0.0004983159357242532,0.75,0.012154545064008537,7.693520676908999e-07,0.12243400701824686,1.0,0.007912361628708613,0.3228873595847961,
narrow_d192_b4_r2,2,COMPLETE,-1.1882173940063274,False,,,4000,0.0695130355306901,0.11423495997829984,0.6085092999892051,0.0695130355306901,0.11423495997829984,0.6085092999892051,4000,constant,0.0009643418646698049,,,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,
narrow_d192_b4_r2,3,COMPLETE,-1.104693883132863,False,,,4000,0.0826986629399471,0.11423495997829984,0.7239348003068115,0.0826986629399471,0.11423495997829984,0.7239348003068115,4000,cosine_decay,0.0002210893178410695,1.0,0.036430683993363126,1.613671536589336e-06,0.3169058880316735,0.5,0.03312588579968341,0.4217057595278402,
narrow_d192_b4_r2,4,COMPLETE,-1.0788354855823603,False,,,4000,0.08614384381022926,0.11423495997829984,0.7540935264177727,0.08614384381022926,0.11423495997829984,0.7540935264177727,4000,cosine_decay,0.0002150875602723823,1.25,0.016301500139320635,2.795475110283828e-05,0.09844608545417897,1.0,0.049786317412733185,0.1508561283376549,
narrow_d192_b4_r2,5,COMPLETE,-1.1492097665429695,False,,,4000,0.07634617516305298,0.11423495997829984,0.668325836307517,0.07634617516305298,0.11423495997829984,0.668325836307517,4000,cosine_decay,0.0004568972058255479,0.75,0.02308016679308127,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,
narrow_d192_b4_r2,6,PRUNED,-1.0401451304166551,False,,,1000,0.09363597196837266,0.106999559502583,0.8751061443959707,0.09363597196837266,0.106999559502583,0.8751061443959707,1000,polynomial_decay,0.0005282942092946875,0.75,0.024074361764179382,3.5182369647795597e-07,0.0963980983750926,2.0,0.06268681536019342,0.42637817769796615,1.0905445756134515
narrow_d192_b4_r2,7,PRUNED,-1.1622751002583993,False,,,4000,0.07426132541149855,0.11423495997829984,0.6500752959129612,0.07426132541149855,0.11423495997829984,0.6500752959129612,4000,cosine_decay,0.0006365026066087508,0.75,0.021147713205237145,3.7197425572222765e-06,0.2822556432388877,0.5,0.008310248401180255,0.36424237701172735,
narrow_d192_b4_r2,8,COMPLETE,-1.1955593839313456,False,,,4000,0.06888387763562302,0.11423495997829984,0.6030017224911556,0.06888387763562302,0.11423495997829984,0.6030017224911556,4000,constant,0.0006176828477264028,,,1.3641190130700651e-06,0.481254987205617,0.5,0.008345022011493858,0.6449472012129702,
